id,TYPE,NO,NAME,EN_NAME,UnitPrice,Density
4ea3d69b-6995-11ee-ab2d-ac82472e843d,MAT,49,D2光料,D2光料,26,7850
4ea407e6-6995-11ee-ab2d-ac82472e843d,MAT,50,SUS304棒材,SUS304棒材,26,7930
4ea43ce3-6995-11ee-ab2d-ac82472e843d,MAT,51,黑色ABS,黑色ABS,28,1100
4ea47251-6995-11ee-ab2d-ac82472e843d,MAT,52,环氧树脂板（黑色）,环氧树脂板（黑色）,28,1450
4ea4a605-6995-11ee-ab2d-ac82472e843d,MAT,53,SKD11光料,SKD11光料,28,7850
4ea4dd95-6995-11ee-ab2d-ac82472e843d,MAT,54,S136H棒材,S136H棒材,28,7850
4ea513bd-6995-11ee-ab2d-ac82472e843d,MAT,55,D2精料,D2精料,28,7850
4ea554be-6995-11ee-ab2d-ac82472e843d,MAT,56,黑白赛刚-POM,黑白赛刚-POM,29,1600
5fb501c1-7ec8-11ee-91a2-2ec64bbaf159,HEAT,0,无,无,0,0
5fb5c5f1-7ec8-11ee-91a2-2ec64bbaf159,HEAT,1,调质,调质,10,0
5fb683b0-7ec8-11ee-91a2-2ec64bbaf159,HEAT,3,淬火,淬火,10,0
5fb71f1b-7ec8-11ee-91a2-2ec64bbaf159,HEAT,4,时效,时效,5,0
5fb7b08b-7ec8-11ee-91a2-2ec64bbaf159,HEAT,5,固容处理,固容处理,10,0
5fb810d0-7ec8-11ee-91a2-2ec64bbaf159,HEAT,6,碳氮共渗,碳氮共渗,10,0
5fb884a9-7ec8-11ee-91a2-2ec64bbaf159,HEAT,7,高频,高频,10,0
5fb8dd38-7ec8-11ee-91a2-2ec64bbaf159,HEAT,8,软氮,软氮,10,0
5fb94c95-7ec8-11ee-91a2-2ec64bbaf159,HEAT,9,真空,真空,10,0
5fbcc16a-7ec8-11ee-91a2-2ec64bbaf159,HEAT,10,调质+淬火,调质+淬火,20,0
5fbd634b-7ec8-11ee-91a2-2ec64bbaf159,HEAT,11,光亮淬火,光亮淬火,10,0
7f893f2a-6995-11ee-ab2d-ac82472e843d,MAT,58,AL6061-圆棒,AL6061-圆棒,28,2750
7f89aa44-6995-11ee-ab2d-ac82472e843d,MAT,59,AL6061-型材,AL6061-型材,26,2750
7f89e1a1-6995-11ee-ab2d-ac82472e843d,MAT,60,铝合金-6061,铝合金-6061,29,2750
7f8a18c2-6995-11ee-ab2d-ac82472e843d,MAT,61,橡胶,橡胶,30,2.3
7f8a50dd-6995-11ee-ab2d-ac82472e843d,MAT,62,亚克力,亚克力,30,1180
7f8a89e4-6995-11ee-ab2d-ac82472e843d,MAT,63,PMMA亚克力,PMMA亚克力,30,1250
7f8ac05b-6995-11ee-ab2d-ac82472e843d,MAT,64,聚氨酯,聚氨酯,30,1250
7f8af2d6-6995-11ee-ab2d-ac82472e843d,MAT,65,白/黑尼龙板PA6,白/黑尼龙板PA6,30,1300
7f8b2d5a-6995-11ee-ab2d-ac82472e843d,MAT,66,1Cr13光料,1Cr13光料,30,7850
7f8b656c-6995-11ee-ab2d-ac82472e843d,MAT,67,3Cr13光料,3Cr13光料,30,7850
7f8ba46a-6995-11ee-ab2d-ac82472e843d,MAT,68,SKD11精料,SKD11精料,30,7850
7f8bdaed-6995-11ee-ab2d-ac82472e843d,MAT,69,SKD61光料,SKD61光料,30,7850
7f8c120f-6995-11ee-ab2d-ac82472e843d,MAT,70,S136光料,S136光料,30,7850
7f8c4693-6995-11ee-ab2d-ac82472e843d,MAT,71,SUS303棒材,SUS303棒材,30,7930
7f8c789a-6995-11ee-ab2d-ac82472e843d,MAT,72,SUS304板材,SUS304板材,30,7930
7f8cab07-6995-11ee-ab2d-ac82472e843d,MAT,73,SUS301圆棒,SUS301圆棒,30,7930
7f8cdd46-6995-11ee-ab2d-ac82472e843d,MAT,74,201光板,201光板,30,7930
7f8d0fdb-6995-11ee-ab2d-ac82472e843d,MAT,75,15CrMo,15CrMo,30,7930
7f8d430c-6995-11ee-ab2d-ac82472e843d,MAT,76,GCr15圆棒ø20,GCr15圆棒ø20,30,7930
7f8eaa8b-6995-11ee-ab2d-ac82472e843d,MAT,77,GCr15镀铬光轴ø30,GCr15镀铬光轴ø30,30,7930
7f8ee4d4-6995-11ee-ab2d-ac82472e843d,MAT,78,镀铬光轴ø12,镀铬光轴ø12,30,7930
7f8f1945-6995-11ee-ab2d-ac82472e843d,MAT,79,304角钢,304角钢,30,7930
7f8f5dee-6995-11ee-ab2d-ac82472e843d,MAT,80,201无缝钢管,201无缝钢管,30,7950
7f8f92ad-6995-11ee-ab2d-ac82472e843d,MAT,81,304六角棒,304六角棒,30,7950
7f8fc446-6995-11ee-ab2d-ac82472e843d,MAT,82,201角钢,201角钢,30,7950
7f8ffae9-6995-11ee-ab2d-ac82472e843d,MAT,83,镀铬棒30,镀铬棒30,30,7950
7f903465-6995-11ee-ab2d-ac82472e843d,MAT,84,不锈钢-304,不锈钢-304,31,7930
7f906d32-6995-11ee-ab2d-ac82472e843d,MAT,85,优力胶,优力胶,32,1250
7f90a302-6995-11ee-ab2d-ac82472e843d,MAT,86,贴膜6061-厚10以上,贴膜6061-厚10以上,27,2750
7f90e9e1-6995-11ee-ab2d-ac82472e843d,MAT,87,1Cr13精料,1Cr13精料,32,7850
7f911b4b-6995-11ee-ab2d-ac82472e843d,MAT,88,3Cr13精料,3Cr13精料,32,7850
7f914d8d-6995-11ee-ab2d-ac82472e843d,MAT,89,SKD61精料,SKD61精料,32,7850
7f918289-6995-11ee-ab2d-ac82472e843d,MAT,90,S136精料,S136精料,32,7850
7f91b7aa-6995-11ee-ab2d-ac82472e843d,MAT,91,S136H光料,S136H光料,32,7850
7f91f4e3-6995-11ee-ab2d-ac82472e843d,MAT,92,S136H精料,S136H精料,34,7850
7f922a64-6995-11ee-ab2d-ac82472e843d,MAT,93,优力胶80-85度,优力胶80-85度,35,1300
7f92602d-6995-11ee-ab2d-ac82472e843d,MAT,94,水绿色玻纤板,水绿色玻纤板,35,2100
7f929118-6995-11ee-ab2d-ac82472e843d,MAT,95,贴膜6061-厚10以下,贴膜6061-厚10以下,32,2750
7f92c23b-6995-11ee-ab2d-ac82472e843d,MAT,96,NAK80棒材,NAK80棒材,35,7850
7f92f9f7-6995-11ee-ab2d-ac82472e843d,MAT,97,SUJ2  ø15镀铬,SUJ2  ø15镀铬,35,7930
7f932e49-6995-11ee-ab2d-ac82472e843d,MAT,98,DC53棒材,DC53棒材,36,7850
7f936af7-6995-11ee-ab2d-ac82472e843d,MAT,99,NAK80光料,NAK80光料,38,7850
7f939d36-6995-11ee-ab2d-ac82472e843d,MAT,100,AL7075-型材,AL7075-型材,38.5,2750
7f93cebc-6995-11ee-ab2d-ac82472e843d,MAT,101,440C,440C,38.5,7930
